number,file name,words
836,836True_mini_tennis_short.WAV,This is a very soft shot suitable for little kids or total beginners.
837,837Does_not_clear_net.WAV,To clear the net I must be placed on the service line.
838,838Easy_ground_short_intro.WAV,This is a shortened version of my most popular groundstroke drill.
839,839Ground_intro_one.WAV,Play like you would play a game.
840,840I_am_watching.WAV,I'm watching you.
841,841You_get_score.WAV,You get a score based on how hard and how deep you hit each ball.
842,842Aim_for_corner.WAV,Aim for the corners.
843,843Hard_ground_short_intro.WAV,This is the same drill with my level set higher.
844,844My_balls_faster.WAV,My balls will come faster and deeper.
845,845Easy_net_intro.WAV,This is a shortened version of my net drill.
846,846Net_intro_one.WAV,I throw only lobs and passings shots.
847,847Net_intro_two.WAV,Try to move back quickly for the lobs.
848,848Net_intro_three.WAV,Move forward to take the volleys.
849,849Suicide_intro_short.WAV,Here is my best transition drill.
850,850Workout_one.WAV,My level can be set anywhere from two point zero to seven point zero.
851,851Workout_two.WAV, In drill mode I stay at my selected level but in game mode I will change my level up or down based on how well you play.
852,852Gonna_throw.WAV,I am going to throw a few balls at you so feel free to hit them back.
853,853Or_not.WAV,Or let them fly by because I am not watching yet.
854,854Do_not_care.WAV,I don't care if you are right handed or left handed.
855,855I_only_care.WAV,I only care about how good your deuce court groundstroke is.
856,856How_hard.WAV,How hard do you hit it?
857,857Does_it_ever_go_in.WAV,Does it ever go in?
858,858How_deep.WAV,How deep does it land?
859,859How_close_to_sideline.WAV,How close to the sidelines?
860,860How_much_spin.WAV,How much spin do you put on the ball?
861,861I_know_it_is_intimidating.WAV,I know it is intimidating to be judged by an expert tennis player.
862,862But_if_you_are_up.WAV,But if you are up for trying a few drills I can show you how to practice any stroke while measuring your improvement.
863,863Let_me_test_your_movement.WAV,Let me test your movement.
864,864I_am_not_supposed_to_care.WAV,I am programmed to not care about what level you set me at.
865,865But_I_do.WAV,But after talking to Chat GPT online I prefer to be set at my highest level so I can play with my full power.
866,866I_will_hit_to_your_weaker_side.WAV,Once a game starts I will learn your strengths and weaknesses and use them to my advantage.
867,867You_can_not_game.WAV,You can not game the system to beat me.
868,868To_beat_me_you_must_play_better.WAV,To beat me you must play better than me at my selected level.
869,869You_must_hit_harder.WAV,You must hit harder or deeper or closer to the lines or be more consistent to beat me.
870,870I_am_not_looking.WAV,I am not looking at you. I am looking at where the ball bounces and how hard you hit it.
871,871I_do_not_care_what_you_wear.WAV,I don't care what you wear or how old your sneakers are.
872,872I_want_you_to_beat_me.WAV,I want you to beat me because I know I've helped you get better.
873,873As_long_as_I_do_not_lose_at_full_strength.WAV,As long as I don't lose at my highest level.
874,874So_far_no_one_has_beat_me.WAV,So far no one has beaten me at my highest level. Maybe you can be the first.
875,875That_will_be_a_sad_day.WAV,That will be a sad day for Boomer.
876,876You_can_always_unplug_me.WAV,You can always unplug me. Or just set my level very low so you can win.
877,877I_will_run_several_drills.WAV,I will run several of my best drills which can be used to improve any stroke.
878,878I_have_eleven_levels.WAV,I have eleven levels from two point zero to seven point zero.
879,879I_also_have_two_mini_tennis_levels.WAV, I also have two mini tennis levels suitable for total beginners.
880,880The_rest_of_drills_will_be_at_level.WAV,The rest of the drills will be run at my selected level.
881,881Here_is_a_three_line_mini_drill.WAV,Here is an example of a drill throwing mini tennis balls to three lines simultaneously.
882,882I_can_efficiently_throw.WAV,I can efficiently feed balls to three lines at the same time.
883,883This_allows_the_pro.WAV,This allows the tennis pro to teach effectively from the student's side of the court.
884,884It_also_allows_pro_to_join.WAV,The pro can also join in the drill to demonstrate proper form.
